imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
28.png,"[-0.17443891002019074, -0.10865645781418137, 1.211983484017574]","[2.1344479010803856, -1.4289529506316292, -0.032956486073277155]",1.8666666666666667,aruco,"[-0.16818734155055454, -0.10366855468206385, 1.2528943986959926]","[2.1049965669219133, -1.4624396274226914, -0.05983046505892374]",True,"[0.006251568469636204, 0.004987903132117527, 0.040910914678418564]","[0.0009326166757592762, 0.011398813186503499, -0.03733833856955286]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
29.png,"[-0.17569171062306901, -0.1153877366347919, 1.219083914400141]","[1.9840428679919682, -1.4399141860286135, -0.03480884307958934]",1.933333333333333,aruco,"[-0.1681942776203162, -0.1087570201983279, 1.256286177678977]","[1.9563261138087882, -1.464711229997174, -0.03980930242733155]",True,"[0.0074974330027528235, 0.006630716436463999, 0.03720226327883602]","[-0.009839642314878909, 3.332235138889509e-05, -0.027525887909070623]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
30.png,"[-0.17498949301694275, -0.12103989304560053, 1.2261799331410654]","[1.8708041633335202, -1.4169781273804694, -0.03507589837131213]",2.0,aruco,"[-0.1665923131689715, -0.11414727064880442, 1.2629374645404823]","[1.8570343948286905, -1.4299208962443044, -0.043872603360236635]",True,"[0.008397179847971253, 0.006892622396796111, 0.03675753139941684]","[-0.00210865598886071, 0.0025307038211498187, -0.016152180772043657]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
31.png,"[-0.1719491027624161, -0.1262123008527491, 1.2328642059888757]","[1.7956677373790337, -1.3639337444079536, -0.03388856667366318]",2.0666666666666664,aruco,"[-0.16125231300499326, -0.11765541426064886, 1.2633221330933675]","[1.7690162237708245, -1.368792704934844, -0.03256193364268359]",True,"[0.010696789757422831, 0.00855688659210023, 0.0304579271044918]","[-0.019327663214688495, 0.0050643795871866204, -0.013883838072613433]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
32.png,"[-0.16630847565719242, -0.13134540848619763, 1.2387872401249225]","[1.7574756471262376, -1.2833657990181941, -0.031352631186556484]",2.1333333333333333,aruco,"[-0.15614273443181925, -0.1227565239823744, 1.2728044081831016]","[1.7459631752347193, -1.284110516392939, -0.03969819834277908]",True,"[0.01016574122537317, 0.008588884503823238, 0.034017168058179115]","[-0.005180668078762064, 0.007897304199808046, -0.008417676989261174]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
33.png,"[-0.1578868302653772, -0.13663962902342536, 1.2436177440181506]","[1.7532542465614716, -1.1768130875653704, -0.027551874170961686]",2.2,aruco,"[-0.14739341831414168, -0.12712000961413214, 1.2766896108059904]","[1.7362301657094839, -1.186838941744559, -0.017838721541450813]",True,"[0.010493411951235515, 0.009519619409293217, 0.0330718667878398]","[-0.015130651782263157, -0.006875410164517217, -0.008782664388848404]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
34.png,"[-0.14658634028023132, -0.14201405348109902, 1.247014548190978]","[1.7785227432604611, -1.0451082307105062, -0.022557609784352457]",2.2666666666666666,aruco,"[-0.13745873541128875, -0.13372242964252107, 1.293944891704492]","[1.7599477043676988, -1.062497846451466, -0.012062987377945453]",True,"[0.009127604868942568, 0.008291623838577955, 0.046930343513513995]","[-0.01540813462644375, -0.011688317098531858, -0.01290746841572472]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
35.png,"[-0.13243770014337658, -0.14710558834197612, 1.2486260821240796]","[1.8276492764233943, -0.8888291460073328, -0.01644191398552919]",2.333333333333333,aruco,"[-0.12149613399023682, -0.13624039293459506, 1.2801997365615265]","[1.8092377146195155, -0.9093358434859902, -0.005519636577231401]",True,"[0.010941566153139765, 0.010865195407381067, 0.031573654437446974]","[-0.015398641111019335, -0.01410839986346749, -0.014014926505804241]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
36.png,"[-0.11567309106247264, -0.15131467724599962, 1.2481244648333718]","[1.8942681299125415, -0.7087805295531133, -0.009291442149368454]",2.4,aruco,"[-0.10651167686652233, -0.14187236011178284, 1.293328878234715]","[1.8841874383189374, -0.7236795619849306, -0.010904065477441681]",True,"[0.009161414195950318, 0.009442317134216782, 0.04520441340134318]","[-0.006283956428169656, -0.004721778118164548, -0.013136947579980596]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
37.png,"[-0.09679451816019977, -0.15390286814954462, 1.2452697566059874]","[1.9717586391337574, -0.5064238974543906, -0.0012188463612876857]",2.466666666666667,aruco,"[-0.08955521247165465, -0.14540559785035873, 1.3015244567947204]","[1.9614816643253936, -0.5452902973076543, 0.026032866982563053]",True,"[0.007239305688545111, 0.0084972702991859, 0.05625470018873302]","[-0.00920141463591038, -0.035879472948924906, -0.01663701329262592]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
38.png,"[-0.07659882239495333, -0.15413579712363562, 1.239987550529943]","[2.053768399294843, -0.28418835896358496, 0.007630539592378669]",2.533333333333333,aruco,"[-0.06852582205265753, -0.14111817842653876, 1.2676443230749181]","[2.054745105775534, -0.2864240420833234, 0.015321531112695177]",True,"[0.0080730003422958, 0.013017618697096861, 0.027656772544975228]","[0.0004190293790730101, -0.006489371425990121, 0.0017662504700075579]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
39.png,"[-0.056128754750281125, -0.15144576440531082, 1.2324339625407084]","[2.1347461366920935, -0.045618715275975705, 0.017078033587095986]",2.6,aruco,"[-0.0491369648079574, -0.1389601661207862, 1.2654863289734248]","[2.1377151762900284, -0.04814928799978955, 0.013741621712478296]",True,"[0.006991789942323724, 0.012485598284524613, 0.03305236643271647]","[0.003052862616158793, 0.0013740740602634894, -0.0030768632754511445]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
40.png,"[-0.036543566745971146, -0.14557126710195528, 1.2230214488696336]","[2.210437540498817, 0.20465233501605531, 0.02691703149788464]",2.6666666666666665,aruco,"[-0.030306780122956116, -0.13272663462435128, 1.2541608118347625]","[2.207361144280818, 0.17328685581427913, 0.03169148777210127]",True,"[0.0062367866230150296, 0.012844632477604007, 0.03113936296512887]","[-0.00413226631381595, -0.015068993460608065, -0.02072227758143348]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
41.png,"[-0.018934888972953836, -0.13662881710554536, 1.2123895453899898]","[2.2782927336877106, 0.4610904442470303, 0.03692343835147011]",2.7333333333333334,aruco,"[-0.014278892415383732, -0.12287276853499082, 1.2368804435579637]","[2.276121359148064, 0.42779633882314266, 0.046687593489943745]",True,"[0.004655996557570104, 0.013756048570554541, 0.024490898167973896]","[-0.0044926070175835475, -0.01856347309305726, -0.020396417725895507]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
42.png,"[-0.004139084228092858, -0.12509080508334042, 1.2013236701212577]","[2.3377372300671255, 0.7175598219895839, 0.04686905416575924]",2.8,aruco,"[-0.00033323956285002607, -0.11411715938932157, 1.23247763286953]","[2.3527094370469355, 0.6808449620735172, 0.06825517787218435]",True,"[0.0038058446652428322, 0.010973645694018846, 0.0311539627482722]","[0.012034376089336761, -0.023219626842931575, -0.022847192005276518]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
43.png,"[0.007398360410724454, -0.11167574092650495, 1.1906441627292967]","[2.390268533931642, 0.9676722021029333, 0.05653519781916422]",2.8666666666666667,aruco,"[0.011073986661708096, -0.10176675820696439, 1.2223715195897646]","[2.4141345180687264, 0.9278005412684277, 0.07467889300965262]",True,"[0.0036756262509836414, 0.009908982719540563, 0.031727356860467903]","[0.01631370466888233, -0.01747229124860875, -0.02890821518629426]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
44.png,"[0.01567083431331376, -0.09718824094709816, 1.1810974286467015]","[2.4393568717188217, 1.205107339639793, 0.06572355512393112]",2.933333333333333,aruco,"[0.019281433347373117, -0.08818213584818972, 1.2124508182216704]","[2.4570962408502117, 1.193922193261401, 0.08744004006712337]",True,"[0.0036105990340593586, 0.009006105098908437, 0.031353389574968915]","[0.018433013519475558, -0.010636892625836026, -0.009048188012019282]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
45.png,"[0.02084714237280108, -0.08236007766424275, 1.173272938349468]","[2.4901488712897626, 1.4238271113311192, 0.07426138808797608]",3.0,aruco,"[0.026947319723469625, -0.073839272920068, 1.2003856068858882]","[2.5172453325169735, 1.4074719715386128, 0.04387669830857412]",True,"[0.006100177350668545, 0.008520804744174743, 0.027112668536420248]","[0.004275898272939754, 0.023626192296570064, -0.0213162756122725]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
46.png,"[0.02339171074355722, -0.06773800822349146, 1.167571226039386]","[2.548993391698542, 1.618118695265644, 0.08199890608466301]",3.0666666666666664,aruco,"[0.028634060835063545, -0.06202883688482328, 1.192470574287133]","[2.579364125780391, 1.60273870848963, 0.13616106907090397]",True,"[0.005242350091506327, 0.005709171338668183, 0.02489934824774709]","[0.036300167421512694, -0.020034444792397438, -0.016522081041416083]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
47.png,"[0.02416572203049347, -0.05363980363464543, 1.1642104249971834]","[-2.5718758656252967, -1.7478083230897488, -0.08707291704384833]",3.1333333333333333,aruco,"[0.037914945009197294, -0.047788468792263825, 1.1908186418908808]","[-2.525034689951233, -1.6989209996926429, 0.11509290643305123]",True,"[0.013749222978703825, 0.005851334842381609, 0.02660821689369741]","[-0.019769108454356116, 0.14566129833431454, -0.005402745405630987]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
48.png,"[0.024099813136663414, -0.040175615699518386, 1.1632467593412026]","[-2.419663282178269, -1.7009877413010732, -0.08412424083323777]",3.2,aruco,"[0.0320053123474467, -0.039755810150116616, 1.1894965119029492]","[-2.3948434210190204, -1.6509370629351374, -0.1622277478420828]",True,"[0.007905499210783283, 0.0004198055494017694, 0.026249752561746664]","[0.06802021043226185, -0.016145613865985592, -0.021754890651197206]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
49.png,"[0.024120960901034855, -0.027317397989580106, 1.1646015717840306]","[-2.29663468359523, -1.6143316183950094, -0.07997947117867855]",3.2666666666666666,aruco,"[0.03415910939227251, -0.026957602733371683, 1.1916536450930528]","[-2.29450093708472, -1.5731251815351444, -0.10710732166330353]",True,"[0.010038148491237658, 0.0003597952562084221, 0.027052073309022262]","[0.029504825383199058, 0.0016684859766486148, -0.025207287867856594]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
50.png,"[0.02510715265376095, -0.014991147185015485, 1.1680764882738728]","[-2.200195920463944, -1.4935118704950547, -0.0748219162681395]",3.333333333333333,aruco,"[0.03858598929519139, -0.015318984404485255, 1.1948216968862901]","[-2.196198952488454, -1.445861342308297, -0.02098794676454383]",True,"[0.013478836641430444, -0.0003278372194697697, 0.02674520861241736]","[0.0010493214446224068, 0.05434716921874571, -0.016405964307896072]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
51.png,"[0.0278525862584146, -0.003168182507379713, 1.1733523376539339]","[-2.1262366722761277, -1.3433552593010285, -0.0687901297926112]",3.4,aruco,"[0.042318369506219075, -0.005238342994314214, 1.2085092840049294]","[-2.1197977488198503, -1.3131300524215423, -0.0388904451594131]",True,"[0.014465783247804474, -0.002070160486934501, 0.03515694635099553]","[0.004880201203993353, 0.03427408954389599, -0.00853229318592008]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
52.png,"[0.03302423798310137, 0.00806461087435334, 1.1799782439424247]","[-2.0697709859085665, -1.1681905150962517, -0.06199628533638017]",3.466666666666667,aruco,"[0.04783528634617357, 0.004306815712897077, 1.2152638081827232]","[-2.066236943226082, -1.1437869367275373, -0.045824906475931036]",True,"[0.014811048363072198, -0.003757795161456263, 0.035285564240298495]","[0.005184692010588657, 0.02263245761728802, -0.009172261866912222]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
53.png,"[0.04109943073066103, 0.018471473974437547, 1.1873654489863086]","[-2.025542037936073, -0.9722028505355467, -0.054544591764401504]",3.533333333333333,aruco,"[0.05623869159134101, 0.012159605062758018, 1.210828196803637]","[-2.0090308526786447, -0.9446219967410392, -0.04619137205190165]",True,"[0.01513926086067998, -0.006311868911679529, 0.023462747817328378]","[0.019422715660169787, 0.022393337970840203, -0.009549720903929937]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
